id,title,company,location,link,date_posted
925,Data Analyst,LTIMindtree,Pune,https://in.linkedin.com/jobs/view/data-analyst-at-ltimindtree-4232670506,5/22/2025
926,Operation Analyst-Power Bi & SQL,Tech Mahindra,Hyderabad,https://in.linkedin.com/jobs/view/operation-analyst-power-bi-sql-at-tech-mahindra-4232506361,5/21/2025
927,Data Analyst,La Fosse,London,https://uk.linkedin.com/jobs/view/data-analyst-at-la-fosse-4231423024,5/20/2025
929,Junior Data Analyst,Observador,Lisbon,https://pt.linkedin.com/jobs/view/junior-data-analyst-at-observador-4234421958,5/21/2025
931,"Data Analyst - Brand Analytics, Regional Brand Partnership",Shopee,Singapore,https://sg.linkedin.com/jobs/view/data-analyst-brand-analytics-regional-brand-partnership-at-shopee-4233349955,5/20/2025
932,Marketing Data Analyst,Naranja X,Argentina,https://ar.linkedin.com/jobs/view/marketing-data-analyst-at-naranja-x-4231883998,5/20/2025
936,Data Analyst,i3,London,https://uk.linkedin.com/jobs/view/data-analyst-at-i3-4231821406,5/20/2025
938,Data Analyst-1,Games24x7,Bengaluru,https://in.linkedin.com/jobs/view/data-analyst-1-at-games24x7-4231814795,5/20/2025
939,Data Analyst I,Booking.com,Amsterdam,https://nl.linkedin.com/jobs/view/data-analyst-i-at-booking-com-4234716035,5/21/2025
940,Data Analyst,Circle K,Gurgaon,https://in.linkedin.com/jobs/view/data-analyst-at-circle-k-4231645514,5/21/2025
942,Data Analyst,La Fosse,Chiswick,https://uk.linkedin.com/jobs/view/data-analyst-at-la-fosse-4231422437,5/20/2025
946,PowerBi,Virtusa,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/powerbi-at-virtusa-4231821769,5/20/2025
947,Analista de Dados de Opera̵̤es Junior,Dasa,Cascavel,https://br.linkedin.com/jobs/view/analista-de-dados-de-opera%C3%A7%C3%B5es-junior-at-dasa-4230654934,5/19/2025
949,Data Analyst,University of Warwick,Greater Coventry Area,https://uk.linkedin.com/jobs/view/data-analyst-at-university-of-warwick-4233367305,5/20/2025
950,Data Analyst,Urban Gym Group,"Amsterdam-Centrum, North Holland, Netherlands",https://nl.linkedin.com/jobs/view/data-analyst-at-urban-gym-group-4234205828,5/21/2025
951,Analyst-Data Analytics,American Express,Gurgaon,https://in.linkedin.com/jobs/view/analyst-data-analytics-at-american-express-4234084242,5/21/2025
952,ANALISTA DE DADOS JR / PL,Direcional Engenharia,"Ṣo Paulo, Ṣo Paulo, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-jr-pl-at-direcional-engenharia-4231488203,5/20/2025
954,Analista Cadastro II,A.C.Camargo Cancer Center,"Ṣo Paulo, Ṣo Paulo, Brazil",https://br.linkedin.com/jobs/view/analista-cadastro-ii-at-a-c-camargo-cancer-center-4231964254,5/21/2025
956,Junior Data Analyst,AMBOSS,Berlin,https://de.linkedin.com/jobs/view/junior-data-analyst-at-amboss-4233632493,5/20/2025
957,Business Intelligence Analyst,upGrad,Mumbai,https://in.linkedin.com/jobs/view/business-intelligence-analyst-at-upgrad-4231160531,5/20/2025
958,Data Analyst,Kindred,India,https://in.linkedin.com/jobs/view/data-analyst-at-kindred-4231837513,5/20/2025
959,Analyst - Data Analytics,KPMG India,Gurgaon,https://in.linkedin.com/jobs/view/analyst-data-analytics-at-kpmg-india-4234844224,5/22/2025
